Generation:	16	Best fitness:	186.69931972789115	Average fitness:	242.69931972789112	Fitness standard deviation:	35.722017448798226	Best genome:	A13	E5	N6	E3	N5	A6	A12	A14	N7	A10	N12	N3	A7	A17	N9	A16	A15	A8	A9	E4	A11	
Generation:	23072	Best fitness:	95.32789115646258	Average fitness:	172.456462585034	Fitness standard deviation:	50.31977782956047	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23088	Best fitness:	95.32789115646258	Average fitness:	172.1421768707483	Fitness standard deviation:	46.268820991228715	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23104	Best fitness:	95.32789115646258	Average fitness:	141.04789115646258	Fitness standard deviation:	38.89968427551429	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23120	Best fitness:	95.32789115646258	Average fitness:	189.81931972789116	Fitness standard deviation:	45.30195076215971	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23136	Best fitness:	95.32789115646258	Average fitness:	208.9821768707483	Fitness standard deviation:	61.24016615768125	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23152	Best fitness:	95.32789115646258	Average fitness:	197.50789115646256	Fitness standard deviation:	63.04771506970101	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23168	Best fitness:	95.32789115646258	Average fitness:	181.67360544217686	Fitness standard deviation:	43.27343805172322	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23184	Best fitness:	95.32789115646258	Average fitness:	126.28503401360543	Fitness standard deviation:	28.823389736780914	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23200	Best fitness:	95.32789115646258	Average fitness:	174.14789115646258	Fitness standard deviation:	41.29719079243694	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23216	Best fitness:	95.32789115646258	Average fitness:	187.53074829931973	Fitness standard deviation:	39.43890019992433	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23232	Best fitness:	95.32789115646258	Average fitness:	207.64789115646258	Fitness standard deviation:	52.38089977486536	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23248	Best fitness:	95.32789115646258	Average fitness:	142.35646258503402	Fitness standard deviation:	41.71866513214635	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23264	Best fitness:	95.32789115646258	Average fitness:	155.816462585034	Fitness standard deviation:	31.77739011386837	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23280	Best fitness:	95.32789115646258	Average fitness:	182.90503401360542	Fitness standard deviation:	50.762360794878205	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23296	Best fitness:	95.32789115646258	Average fitness:	160.53074829931973	Fitness standard deviation:	44.10581978351055	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23312	Best fitness:	95.32789115646258	Average fitness:	167.16503401360544	Fitness standard deviation:	39.26203348617323	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23328	Best fitness:	95.32789115646258	Average fitness:	231.50217687074831	Fitness standard deviation:	66.705333691221	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23344	Best fitness:	95.32789115646258	Average fitness:	155.7307482993197	Fitness standard deviation:	44.74794981052091	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23360	Best fitness:	95.32789115646258	Average fitness:	171.54789115646258	Fitness standard deviation:	53.35280349537713	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23376	Best fitness:	95.32789115646258	Average fitness:	172.5221768707483	Fitness standard deviation:	58.85608570479179	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23392	Best fitness:	95.32789115646258	Average fitness:	177.53931972789115	Fitness standard deviation:	51.948574571397046	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23408	Best fitness:	95.32789115646258	Average fitness:	175.6107482993197	Fitness standard deviation:	53.14676245251138	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23424	Best fitness:	95.32789115646258	Average fitness:	144.57074829931975	Fitness standard deviation:	43.84323883835151	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23440	Best fitness:	95.32789115646258	Average fitness:	168.05931972789114	Fitness standard deviation:	32.45074685471155	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23456	Best fitness:	95.32789115646258	Average fitness:	159.34503401360544	Fitness standard deviation:	48.59247308808563	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23472	Best fitness:	95.32789115646258	Average fitness:	181.4021768707483	Fitness standard deviation:	39.72622061160151	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23488	Best fitness:	95.32789115646258	Average fitness:	177.0650340136054	Fitness standard deviation:	40.647166329428735	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23504	Best fitness:	95.32789115646258	Average fitness:	192.74789115646257	Fitness standard deviation:	53.98674977270263	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23520	Best fitness:	95.32789115646258	Average fitness:	185.86217687074827	Fitness standard deviation:	51.17516944131147	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23536	Best fitness:	95.32789115646258	Average fitness:	121.96789115646257	Fitness standard deviation:	30.54865426743084	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23552	Best fitness:	95.32789115646258	Average fitness:	152.82217687074828	Fitness standard deviation:	38.81566914827788	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23568	Best fitness:	95.32789115646258	Average fitness:	177.0278911564626	Fitness standard deviation:	46.05737548682831	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23584	Best fitness:	95.32789115646258	Average fitness:	122.47074829931974	Fitness standard deviation:	23.464147205505522	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23600	Best fitness:	95.32789115646258	Average fitness:	177.87360544217682	Fitness standard deviation:	40.967221242433936	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23616	Best fitness:	95.32789115646258	Average fitness:	175.27074829931973	Fitness standard deviation:	52.55024107208923	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23632	Best fitness:	95.32789115646258	Average fitness:	139.576462585034	Fitness standard deviation:	40.31125239170516	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23648	Best fitness:	95.32789115646258	Average fitness:	176.2078911564626	Fitness standard deviation:	45.91184596593781	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23664	Best fitness:	95.32789115646258	Average fitness:	200.66789115646256	Fitness standard deviation:	61.04143985516591	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23680	Best fitness:	95.32789115646258	Average fitness:	202.9678911564626	Fitness standard deviation:	47.292944117122865	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23696	Best fitness:	95.32789115646258	Average fitness:	183.21931972789113	Fitness standard deviation:	47.179446926017455	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23712	Best fitness:	95.32789115646258	Average fitness:	216.62217687074832	Fitness standard deviation:	56.11891754232657	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23728	Best fitness:	95.32789115646258	Average fitness:	169.05360544217686	Fitness standard deviation:	37.79353405447195	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23744	Best fitness:	95.32789115646258	Average fitness:	181.55360544217686	Fitness standard deviation:	38.378813139011775	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23760	Best fitness:	95.32789115646258	Average fitness:	158.79646258503402	Fitness standard deviation:	58.015435243826374	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23776	Best fitness:	95.32789115646258	Average fitness:	166.34503401360544	Fitness standard deviation:	55.44074858875583	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23792	Best fitness:	95.32789115646258	Average fitness:	171.816462585034	Fitness standard deviation:	41.70575930472521	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23808	Best fitness:	95.32789115646258	Average fitness:	204.87931972789116	Fitness standard deviation:	57.200429640173226	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23824	Best fitness:	95.32789115646258	Average fitness:	161.40503401360542	Fitness standard deviation:	47.10022496588243	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23840	Best fitness:	95.32789115646258	Average fitness:	203.48503401360543	Fitness standard deviation:	67.16996686748917	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23856	Best fitness:	95.32789115646258	Average fitness:	141.476462585034	Fitness standard deviation:	36.28898477949653	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23872	Best fitness:	95.32789115646258	Average fitness:	179.15931972789113	Fitness standard deviation:	44.369924452475324	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23888	Best fitness:	95.32789115646258	Average fitness:	210.4821768707483	Fitness standard deviation:	63.706026626775504	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23904	Best fitness:	95.32789115646258	Average fitness:	195.61646258503401	Fitness standard deviation:	68.6810783436674	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23920	Best fitness:	95.32789115646258	Average fitness:	168.28789115646256	Fitness standard deviation:	52.67741366282215	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23936	Best fitness:	95.32789115646258	Average fitness:	170.00789115646262	Fitness standard deviation:	38.11121598261422	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23952	Best fitness:	95.32789115646258	Average fitness:	177.11931972789117	Fitness standard deviation:	49.12006788867209	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23968	Best fitness:	95.32789115646258	Average fitness:	169.53074829931973	Fitness standard deviation:	38.06172527109412	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	23984	Best fitness:	95.32789115646258	Average fitness:	172.7107482993197	Fitness standard deviation:	44.480300982684504	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24000	Best fitness:	95.32789115646258	Average fitness:	135.09074829931973	Fitness standard deviation:	27.03154332800622	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24016	Best fitness:	95.32789115646258	Average fitness:	150.1707482993197	Fitness standard deviation:	41.91011616226676	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24032	Best fitness:	95.32789115646258	Average fitness:	195.55074829931974	Fitness standard deviation:	38.1351855313463	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24048	Best fitness:	95.32789115646258	Average fitness:	178.63931972789115	Fitness standard deviation:	39.359966090079965	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24064	Best fitness:	95.32789115646258	Average fitness:	197.97360544217685	Fitness standard deviation:	53.110960012688416	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24080	Best fitness:	95.32789115646258	Average fitness:	142.66789115646256	Fitness standard deviation:	53.65793008702898	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24096	Best fitness:	95.32789115646258	Average fitness:	174.65360544217685	Fitness standard deviation:	53.534892226605685	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24112	Best fitness:	95.32789115646258	Average fitness:	202.12789115646257	Fitness standard deviation:	49.28086767060161	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24128	Best fitness:	95.32789115646258	Average fitness:	126.11646258503399	Fitness standard deviation:	27.29460797464942	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24144	Best fitness:	95.32789115646258	Average fitness:	152.87360544217685	Fitness standard deviation:	40.42880656165848	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24160	Best fitness:	95.32789115646258	Average fitness:	182.85646258503402	Fitness standard deviation:	42.08900045360633	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24176	Best fitness:	95.32789115646258	Average fitness:	134.516462585034	Fitness standard deviation:	25.121033385737675	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24192	Best fitness:	95.32789115646258	Average fitness:	171.696462585034	Fitness standard deviation:	60.593299892287874	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24208	Best fitness:	95.32789115646258	Average fitness:	169.9221768707483	Fitness standard deviation:	50.552478774082694	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24224	Best fitness:	95.32789115646258	Average fitness:	201.23360544217687	Fitness standard deviation:	60.78644323887238	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24240	Best fitness:	95.32789115646258	Average fitness:	170.69074829931972	Fitness standard deviation:	54.183775039683425	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24256	Best fitness:	95.32789115646258	Average fitness:	162.7707482993197	Fitness standard deviation:	43.789112895367786	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24272	Best fitness:	95.32789115646258	Average fitness:	180.04503401360543	Fitness standard deviation:	51.16977814998192	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24288	Best fitness:	95.32789115646258	Average fitness:	174.316462585034	Fitness standard deviation:	53.13074239792912	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24304	Best fitness:	95.32789115646258	Average fitness:	168.356462585034	Fitness standard deviation:	53.139087423900094	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24320	Best fitness:	95.32789115646258	Average fitness:	165.60217687074828	Fitness standard deviation:	40.909411521316315	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24336	Best fitness:	95.32789115646258	Average fitness:	165.35931972789118	Fitness standard deviation:	32.27520296652853	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24352	Best fitness:	95.32789115646258	Average fitness:	162.04217687074828	Fitness standard deviation:	45.99561292300893	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24368	Best fitness:	95.32789115646258	Average fitness:	154.09074829931973	Fitness standard deviation:	29.099009170311582	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24384	Best fitness:	95.32789115646258	Average fitness:	157.94503401360544	Fitness standard deviation:	37.8188921583067	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24400	Best fitness:	95.32789115646258	Average fitness:	191.43931972789116	Fitness standard deviation:	44.02071951864003	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24416	Best fitness:	95.32789115646258	Average fitness:	191.6621768707483	Fitness standard deviation:	53.70207619594518	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24432	Best fitness:	95.32789115646258	Average fitness:	184.11360544217683	Fitness standard deviation:	58.775367949090885	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24448	Best fitness:	95.32789115646258	Average fitness:	169.21074829931973	Fitness standard deviation:	44.01950115156524	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24464	Best fitness:	95.32789115646258	Average fitness:	155.31360544217688	Fitness standard deviation:	55.84323429321166	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24480	Best fitness:	95.32789115646258	Average fitness:	183.4107482993197	Fitness standard deviation:	50.62515862409012	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24496	Best fitness:	95.32789115646258	Average fitness:	157.30503401360542	Fitness standard deviation:	39.45979467658653	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24512	Best fitness:	95.32789115646258	Average fitness:	167.80503401360545	Fitness standard deviation:	36.015645239823435	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24528	Best fitness:	95.32789115646258	Average fitness:	170.68503401360545	Fitness standard deviation:	45.8509746630431	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24544	Best fitness:	95.32789115646258	Average fitness:	168.30217687074827	Fitness standard deviation:	45.654254244399226	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24560	Best fitness:	95.32789115646258	Average fitness:	162.28789115646256	Fitness standard deviation:	40.184450642871646	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24576	Best fitness:	95.32789115646258	Average fitness:	182.91360544217687	Fitness standard deviation:	53.9520788879032	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24592	Best fitness:	95.32789115646258	Average fitness:	188.556462585034	Fitness standard deviation:	50.346648146543345	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24608	Best fitness:	95.32789115646258	Average fitness:	188.40503401360544	Fitness standard deviation:	63.77072586658412	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24624	Best fitness:	95.32789115646258	Average fitness:	171.2278911564626	Fitness standard deviation:	46.95790429214451	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24640	Best fitness:	95.32789115646258	Average fitness:	160.85931972789112	Fitness standard deviation:	32.89429750220037	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24656	Best fitness:	95.32789115646258	Average fitness:	170.75360544217688	Fitness standard deviation:	60.233405132679906	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24672	Best fitness:	95.32789115646258	Average fitness:	161.96789115646257	Fitness standard deviation:	50.19951085215789	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24688	Best fitness:	95.32789115646258	Average fitness:	130.46503401360545	Fitness standard deviation:	45.40750958300413	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24704	Best fitness:	95.32789115646258	Average fitness:	149.41360544217687	Fitness standard deviation:	32.2381773931569	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24720	Best fitness:	95.32789115646258	Average fitness:	184.48503401360543	Fitness standard deviation:	69.77107903270348	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24736	Best fitness:	95.32789115646258	Average fitness:	199.12503401360544	Fitness standard deviation:	50.722783111049935	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24752	Best fitness:	95.32789115646258	Average fitness:	181.80217687074827	Fitness standard deviation:	65.70070816255503	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24768	Best fitness:	95.32789115646258	Average fitness:	179.85646258503402	Fitness standard deviation:	40.93777707493086	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24784	Best fitness:	95.32789115646258	Average fitness:	198.06503401360544	Fitness standard deviation:	60.80918002662266	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
Generation:	24800	Best fitness:	95.32789115646258	Average fitness:	173.92503401360545	Fitness standard deviation:	42.83869974588826	Best genome:	A13	N9	A16	E5	A15	A14	A17	N7	A10	N12	E3	N6	A6	A12	N5	A11	A8	A9	N3	E4	A7	
