Generation:	16	Best fitness:	253.4421768707483	Average fitness:	327.5350340136054	Fitness standard deviation:	38.30633653023148	Best genome:	A16	N3	E3	N12	A8	N9	E4	A7	A14	A6	N7	N5	A17	A10	E5	A13	A9	A15	A11	N6	A12	
Generation:	5472	Best fitness:	128.58503401360545	Average fitness:	274.42503401360545	Fitness standard deviation:	64.62335105858264	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5488	Best fitness:	128.58503401360545	Average fitness:	278.8893197278912	Fitness standard deviation:	67.08260474358217	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5504	Best fitness:	128.58503401360545	Average fitness:	282.47789115646253	Fitness standard deviation:	52.70319192207916	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5520	Best fitness:	128.58503401360545	Average fitness:	260.926462585034	Fitness standard deviation:	48.11824167228737	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5536	Best fitness:	128.58503401360545	Average fitness:	288.026462585034	Fitness standard deviation:	53.74822140389049	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5552	Best fitness:	128.58503401360545	Average fitness:	275.4350340136055	Fitness standard deviation:	69.54303079858586	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5568	Best fitness:	128.58503401360545	Average fitness:	279.82217687074836	Fitness standard deviation:	45.199894437297715	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5584	Best fitness:	128.58503401360545	Average fitness:	262.8307482993197	Fitness standard deviation:	39.448272924612226	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5600	Best fitness:	128.58503401360545	Average fitness:	248.6750340136055	Fitness standard deviation:	54.45926489269811	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5616	Best fitness:	128.58503401360545	Average fitness:	282.436462585034	Fitness standard deviation:	48.79182149600442	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5632	Best fitness:	128.58503401360545	Average fitness:	276.5236054421769	Fitness standard deviation:	47.87052117910545	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5648	Best fitness:	128.58503401360545	Average fitness:	273.3021768707483	Fitness standard deviation:	52.72214722641012	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5664	Best fitness:	128.58503401360545	Average fitness:	272.4536054421769	Fitness standard deviation:	44.84165738166569	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5680	Best fitness:	128.58503401360545	Average fitness:	268.8878911564626	Fitness standard deviation:	64.62644268314287	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5696	Best fitness:	128.58503401360545	Average fitness:	269.18789115646257	Fitness standard deviation:	75.86472219331847	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5712	Best fitness:	128.58503401360545	Average fitness:	283.98360544217695	Fitness standard deviation:	75.70038442465676	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5728	Best fitness:	128.58503401360545	Average fitness:	258.5478911564626	Fitness standard deviation:	50.32087171951858	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5744	Best fitness:	128.58503401360545	Average fitness:	262.9621768707483	Fitness standard deviation:	53.923178613994324	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5760	Best fitness:	128.58503401360545	Average fitness:	271.8707482993198	Fitness standard deviation:	59.75113422200726	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5776	Best fitness:	128.58503401360545	Average fitness:	263.5436054421769	Fitness standard deviation:	47.64544604231793	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5792	Best fitness:	128.58503401360545	Average fitness:	255.1078911564626	Fitness standard deviation:	54.31516126144838	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5808	Best fitness:	128.58503401360545	Average fitness:	250.90503401360542	Fitness standard deviation:	47.039722337095284	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5824	Best fitness:	128.58503401360545	Average fitness:	293.03503401360547	Fitness standard deviation:	59.014992128427565	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5840	Best fitness:	128.58503401360545	Average fitness:	300.2507482993198	Fitness standard deviation:	56.72743143798263	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5856	Best fitness:	128.58503401360545	Average fitness:	288.14646258503404	Fitness standard deviation:	55.07277728568974	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5872	Best fitness:	128.58503401360545	Average fitness:	289.18646258503406	Fitness standard deviation:	63.184952661667346	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5888	Best fitness:	128.58503401360545	Average fitness:	282.48931972789103	Fitness standard deviation:	56.339074978098054	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5904	Best fitness:	128.58503401360545	Average fitness:	276.68503401360545	Fitness standard deviation:	59.935563018008885	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5920	Best fitness:	128.58503401360545	Average fitness:	271.00074829931975	Fitness standard deviation:	61.11749639265439	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5936	Best fitness:	128.58503401360545	Average fitness:	276.64360544217686	Fitness standard deviation:	56.743927104715844	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5952	Best fitness:	128.58503401360545	Average fitness:	279.996462585034	Fitness standard deviation:	54.05703971599946	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5968	Best fitness:	128.58503401360545	Average fitness:	273.0221768707483	Fitness standard deviation:	45.306666716716116	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	5984	Best fitness:	128.58503401360545	Average fitness:	285.2978911564626	Fitness standard deviation:	58.25287553557562	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6000	Best fitness:	128.58503401360545	Average fitness:	277.6207482993197	Fitness standard deviation:	68.25977383854854	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6016	Best fitness:	128.58503401360545	Average fitness:	279.26074829931974	Fitness standard deviation:	54.06849040894373	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6032	Best fitness:	128.58503401360545	Average fitness:	288.5736054421768	Fitness standard deviation:	57.431518332351125	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6048	Best fitness:	128.58503401360545	Average fitness:	270.75360544217693	Fitness standard deviation:	61.33432298077647	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6064	Best fitness:	128.58503401360545	Average fitness:	282.12074829931976	Fitness standard deviation:	64.3991671102181	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6080	Best fitness:	128.58503401360545	Average fitness:	262.01789115646255	Fitness standard deviation:	48.99785274345589	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6096	Best fitness:	128.58503401360545	Average fitness:	271.2193197278912	Fitness standard deviation:	51.49210409056391	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6112	Best fitness:	128.58503401360545	Average fitness:	264.2993197278912	Fitness standard deviation:	65.37229644778546	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6128	Best fitness:	128.58503401360545	Average fitness:	296.6936054421769	Fitness standard deviation:	58.962756560599246	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6144	Best fitness:	128.58503401360545	Average fitness:	284.76789115646255	Fitness standard deviation:	57.98545940182604	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6160	Best fitness:	128.58503401360545	Average fitness:	290.6936054421768	Fitness standard deviation:	63.057676611114026	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6176	Best fitness:	128.58503401360545	Average fitness:	277.14360544217686	Fitness standard deviation:	55.024328181602854	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6192	Best fitness:	128.58503401360545	Average fitness:	259.4050340136055	Fitness standard deviation:	57.682782137324494	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6208	Best fitness:	128.58503401360545	Average fitness:	265.816462585034	Fitness standard deviation:	55.0805717071985	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6224	Best fitness:	128.58503401360545	Average fitness:	271.35074829931966	Fitness standard deviation:	58.643204523070644	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6240	Best fitness:	128.58503401360545	Average fitness:	269.05503401360545	Fitness standard deviation:	71.41150909070781	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6256	Best fitness:	128.58503401360545	Average fitness:	261.90646258503403	Fitness standard deviation:	55.30252079356282	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6272	Best fitness:	128.58503401360545	Average fitness:	269.05789115646263	Fitness standard deviation:	58.6324069164513	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6288	Best fitness:	128.58503401360545	Average fitness:	276.04503401360546	Fitness standard deviation:	53.00314884754585	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6304	Best fitness:	128.58503401360545	Average fitness:	274.2207482993198	Fitness standard deviation:	62.70994835310407	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6320	Best fitness:	128.58503401360545	Average fitness:	285.7650340136055	Fitness standard deviation:	57.41960562564045	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6336	Best fitness:	128.58503401360545	Average fitness:	259.91217687074834	Fitness standard deviation:	57.44923897828128	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6352	Best fitness:	128.58503401360545	Average fitness:	254.5321768707483	Fitness standard deviation:	63.25574864575309	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6368	Best fitness:	128.58503401360545	Average fitness:	268.75789115646256	Fitness standard deviation:	54.87244241634132	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6384	Best fitness:	128.58503401360545	Average fitness:	251.44789115646262	Fitness standard deviation:	49.48306459418872	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6400	Best fitness:	128.58503401360545	Average fitness:	272.6907482993198	Fitness standard deviation:	61.62557122308424	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6416	Best fitness:	128.58503401360545	Average fitness:	283.3878911564626	Fitness standard deviation:	48.22981371115013	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6432	Best fitness:	128.58503401360545	Average fitness:	295.00360544217693	Fitness standard deviation:	66.68683575688164	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6448	Best fitness:	128.58503401360545	Average fitness:	253.4907482993197	Fitness standard deviation:	51.059122273565755	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6464	Best fitness:	128.58503401360545	Average fitness:	278.3150340136055	Fitness standard deviation:	58.89975328246031	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6480	Best fitness:	128.58503401360545	Average fitness:	271.37789115646257	Fitness standard deviation:	53.4830233411901	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6496	Best fitness:	128.58503401360545	Average fitness:	259.196462585034	Fitness standard deviation:	55.68474630837939	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6512	Best fitness:	128.58503401360545	Average fitness:	264.41217687074834	Fitness standard deviation:	55.35629048191693	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6528	Best fitness:	128.58503401360545	Average fitness:	282.8264625850341	Fitness standard deviation:	53.186947512658456	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6544	Best fitness:	128.58503401360545	Average fitness:	266.8450340136055	Fitness standard deviation:	60.97106031486059	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6560	Best fitness:	128.58503401360545	Average fitness:	272.9293197278912	Fitness standard deviation:	45.95194337566149	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6576	Best fitness:	128.58503401360545	Average fitness:	263.5464625850341	Fitness standard deviation:	59.62626682862484	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6592	Best fitness:	128.58503401360545	Average fitness:	291.84789115646265	Fitness standard deviation:	48.97047473650186	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6608	Best fitness:	128.58503401360545	Average fitness:	263.25074829931975	Fitness standard deviation:	41.86227087066563	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6624	Best fitness:	128.58503401360545	Average fitness:	286.5736054421769	Fitness standard deviation:	61.01873074754026	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6640	Best fitness:	128.58503401360545	Average fitness:	266.43789115646257	Fitness standard deviation:	53.546271636057426	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6656	Best fitness:	128.58503401360545	Average fitness:	270.57217687074825	Fitness standard deviation:	59.679911141669365	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6672	Best fitness:	128.58503401360545	Average fitness:	267.01360544217687	Fitness standard deviation:	54.46402444902206	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6688	Best fitness:	128.58503401360545	Average fitness:	269.91217687074834	Fitness standard deviation:	49.997465629647216	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6704	Best fitness:	128.58503401360545	Average fitness:	273.9078911564626	Fitness standard deviation:	60.16092982618388	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6720	Best fitness:	128.58503401360545	Average fitness:	265.50503401360544	Fitness standard deviation:	53.533109800365224	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6736	Best fitness:	128.58503401360545	Average fitness:	280.33931972789117	Fitness standard deviation:	67.82184248726473	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6752	Best fitness:	128.58503401360545	Average fitness:	269.73217687074833	Fitness standard deviation:	55.69257179428173	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6768	Best fitness:	128.58503401360545	Average fitness:	275.92074829931977	Fitness standard deviation:	61.9991572523369	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6784	Best fitness:	128.58503401360545	Average fitness:	279.89217687074836	Fitness standard deviation:	52.904660398085305	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6800	Best fitness:	128.58503401360545	Average fitness:	265.486462585034	Fitness standard deviation:	56.43347282510656	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6816	Best fitness:	128.58503401360545	Average fitness:	276.73789115646264	Fitness standard deviation:	59.57390147316771	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6832	Best fitness:	128.58503401360545	Average fitness:	284.6664625850341	Fitness standard deviation:	47.6501358971872	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6848	Best fitness:	128.58503401360545	Average fitness:	277.51789115646255	Fitness standard deviation:	60.3818199933911	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6864	Best fitness:	128.58503401360545	Average fitness:	284.58789115646255	Fitness standard deviation:	52.915047742121715	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6880	Best fitness:	128.58503401360545	Average fitness:	287.3450340136054	Fitness standard deviation:	49.968566772583365	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6896	Best fitness:	128.58503401360545	Average fitness:	281.9550340136054	Fitness standard deviation:	45.317192732370984	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6912	Best fitness:	128.58503401360545	Average fitness:	276.4936054421769	Fitness standard deviation:	55.618827086973084	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6928	Best fitness:	128.58503401360545	Average fitness:	266.4721768707483	Fitness standard deviation:	60.07954623255908	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6944	Best fitness:	128.58503401360545	Average fitness:	277.18646258503406	Fitness standard deviation:	53.679966601011536	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6960	Best fitness:	128.58503401360545	Average fitness:	265.30074829931976	Fitness standard deviation:	58.58560210042556	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6976	Best fitness:	128.58503401360545	Average fitness:	275.4793197278912	Fitness standard deviation:	54.38913764601854	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	6992	Best fitness:	128.58503401360545	Average fitness:	271.91931972789115	Fitness standard deviation:	42.654719192461634	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	7008	Best fitness:	128.58503401360545	Average fitness:	273.30074829931976	Fitness standard deviation:	65.26497418295698	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	7024	Best fitness:	128.58503401360545	Average fitness:	276.0321768707483	Fitness standard deviation:	62.8008905922812	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	7040	Best fitness:	128.58503401360545	Average fitness:	269.93360544217694	Fitness standard deviation:	56.349991289860434	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	7056	Best fitness:	128.58503401360545	Average fitness:	273.7107482993198	Fitness standard deviation:	56.20128867721444	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	7072	Best fitness:	128.58503401360545	Average fitness:	273.48360544217695	Fitness standard deviation:	58.340705483620354	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	7088	Best fitness:	128.58503401360545	Average fitness:	241.69360544217693	Fitness standard deviation:	45.255804092752925	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	7104	Best fitness:	128.58503401360545	Average fitness:	269.7807482993197	Fitness standard deviation:	46.47902162288281	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	7120	Best fitness:	128.58503401360545	Average fitness:	271.7178911564626	Fitness standard deviation:	63.96656414543014	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	7136	Best fitness:	128.58503401360545	Average fitness:	267.29789115646264	Fitness standard deviation:	68.48819083370117	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	7152	Best fitness:	128.58503401360545	Average fitness:	256.41074829931966	Fitness standard deviation:	60.551557320002516	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	7168	Best fitness:	128.58503401360545	Average fitness:	271.17931972789114	Fitness standard deviation:	48.81205906539983	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	7184	Best fitness:	128.58503401360545	Average fitness:	285.9750340136054	Fitness standard deviation:	62.84180480072357	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
Generation:	7200	Best fitness:	128.58503401360545	Average fitness:	273.8107482993197	Fitness standard deviation:	70.3334802268189	Best genome:	A9	A11	E3	N6	A15	N7	A10	N12	A8	A13	N9	N3	E4	N5	A7	A14	A17	A6	A12	A16	E5	
